Number of attendees;Country Name:;Region
301;Finland;Scandinavia & Baltics
26;Estonia;Scandinavia & Baltics
11;UK;Rest of Europe
7;Denmark;Scandinavia & Baltics
7;Sweden;Scandinavia & Baltics
5;Germany;Rest of Europe
5;Netherlands;Rest of Europe
5;US;Outside of Europe
4;Switzerland;Rest of Europe
3;Australia;Outside of Europe
3;Japan;Outside of Europe
2;Latvia;Scandinavia & Baltics
2;Norway;Scandinavia & Baltics
2;Poland;Rest of Europe
2;Portugal;Rest of Europe
2;Thailand;Outside of Europe
1;Canada;Outside of Europe
1;Italy;Rest of Europe
1;Lithuania;Scandinavia & Baltics
1;Malta;Rest of Europe
1;Singapore;Outside of Europe
1;Spain;Rest of Europe
